"species","start_year","end_year","trend_type","trend","lci","uci","percent_change","p_ch_lci","p_ch_uci","prob_decline","prob_decline_GT30","prob_decline_GT50","prob_decline_GT70","mean_abundance","mean_observed","mean_n_surveys"
"American Golden-Plover",1998,2011,"Previous-three-generation",-4.56331408262477,-7.10467557789865,-2.03585974460582,-45.5031347583935,-61.6363316419635,-23.4627756199166,0.99925,0.9275,0.30975,0.00075,0.352674200535714,1.03649786735381,604.428571428571
"Semipalmated Plover",1980,2024,"Long-term",-0.0837238060678813,-0.838964625294694,0.532441511332334,-1.78588355935087,-30.9750147358401,26.3205812114655,0.592,0.02825,5e-04,0,9.24010707977778,48.825869577034,1023.6
"Semipalmated Plover",2004,2024,"15-year",-0.00436234752450594,-1.22691086809371,1.22821389580435,-0.0209276641982448,-21.8781118468609,27.6531367772659,0.5025,0.006,0,0,9.11580527059524,54.0883324181961,974.857142857143
"Semipalmated Plover",1980,1995,"First-15-year",-0.222663003627609,-1.95801429672926,1.01005627562834,-1.31255230467918,-25.6670293442013,16.2704134771658,0.61725,0.01025,0,0,9.3637688721875,41.8400142216431,993.75
"Semipalmated Plover",2013,2024,"Recent-three-generation",0.299556247440112,-1.16489202984184,2.5583104046599,1.00621429244679,-12.0929610741775,32.0320699647552,0.3905,0,0,0,9.09523545104167,50.3240512044092,850.916666666667
"Semipalmated Plover",2002,2013,"Previous-three-generation",-0.328697783145652,-2.10864868500384,0.782670910978276,-1.52834946440668,-20.8979825303115,8.9543316206177,0.65225,0.0025,0,0,9.158511155,60.6938940353212,1146.25
"Piping Plover",1980,2024,"Long-term",-2.12702497250494,-3.34418224928411,-0.960606035730966,-60.9904650181506,-77.6111352753848,-34.604048395246,0.9995,0.98775,0.8315,0.1715,1.59375871947222,2.2603916866172,312.377777777778
"Piping Plover",2004,2024,"15-year",-0.512500023833792,-2.96785463859212,2.17344027934584,-10.4053475829055,-45.2590067732604,53.7306046298549,0.66025,0.16725,0.00925,0,1.00840070496429,1.95693801765316,341.761904761905
"Piping Plover",1980,1995,"First-15-year",-2.55976640422695,-5.85917585732258,0.685268628628312,-32.0440089116115,-59.573145239783,10.7870495722538,0.941,0.55,0.12025,0.00175,2.3706253653125,2.53372300761671,275.75
"Piping Plover",2013,2024,"Recent-three-generation",1.99997334865107,-1.95000145442377,7.18407747972486,21.8814911942017,-19.476339652578,114.502829582587,0.20275,0.003,0,0,0.9853182105,1.96355424895276,336.916666666667
"Piping Plover",2002,2013,"Previous-three-generation",-3.79855153960577,-7.17766959898472,-0.964979401016918,-33.8571341171422,-55.9265394701122,-10.1171575937317,0.994,0.62875,0.07925,0.00025,1.07724315170833,1.9285444691343,364.916666666667
